pageUrl,viewport,run,requestUrl,path,resourceType,mimeType,status,transferredSizeBytes,transferredSize,encodedBodySizeBytes,cache,initiator,extension,fileName,componentTraceNeeded
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397470,1.33 MB,1397470,no,other,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397466,1.33 MB,1397466,no,other,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397460,1.33 MB,1397460,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397460,1.33 MB,1397460,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B1-Photoroom.png,image,image/png,200,1397444,1.33 MB,1397444,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋1-Photoroom.png,yes
/music,mobile,repeat,https://music.code-destiny.com/yeonisong/Gisin%20Out%20Yongsin%20In.wav,/yeonisong/Gisin%20Out%20Yongsin%20In.wav,media,audio/wav,206,1263146,1.20 MB,32363692,no,other,.wav,Gisin Out Yongsin In.wav,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,1179402,1.12 MB,1179402,no,script 4bd1b696-100b9d70ed4e49c1.js:1,.png,네오 전신상 배경없음-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,1179324,1.12 MB,1179324,no,script 7620-a82822ebe1be243c.js:1,.png,네오 전신상 배경없음-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EC%A0%84%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,1179237,1.12 MB,1179237,no,script 4bd1b696-100b9d70ed4e49c1.js:1,.png,네오 전신상 배경없음-Photoroom.png,yes
/fortune-tea-house,desktop,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,image,image/png,200,994750,971.4 KB,994750,no,parser 244212f9e6bf8d4a.css,.png,오버레이-Photoroom.png,yes
/fortune-tea-house,desktop,cold,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,image,image/png,200,994732,971.4 KB,994732,no,parser 244212f9e6bf8d4a.css,.png,오버레이-Photoroom.png,yes
/fortune-tea-house,mobile,cold,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,image,image/png,200,994706,971.4 KB,994706,no,parser 244212f9e6bf8d4a.css,.png,오버레이-Photoroom.png,yes
/fortune-tea-house,mobile,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B4-Photoroom.png,image,image/png,200,994661,971.3 KB,994661,no,parser 244212f9e6bf8d4a.css,.png,오버레이-Photoroom.png,yes
/fortune-tea-house,mobile,cold,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,image,image/png,200,927092,905.4 KB,927092,no,parser 244212f9e6bf8d4a.css,.png,오버레이2-Photoroom.png,yes
/fortune-tea-house,desktop,cold,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,image,image/png,200,927065,905.3 KB,927065,no,parser 244212f9e6bf8d4a.css,.png,오버레이2-Photoroom.png,yes
/fortune-tea-house,mobile,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,image,image/png,200,927011,905.3 KB,927011,no,parser 244212f9e6bf8d4a.css,.png,오버레이2-Photoroom.png,yes
/fortune-tea-house,desktop,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,/DestinyCafe/nobackground/%EC%98%A4%EB%B2%84%EB%A0%88%EC%9D%B42-Photoroom.png,image,image/png,200,926959,905.2 KB,926959,no,parser 244212f9e6bf8d4a.css,.png,오버레이2-Photoroom.png,yes
/,mobile,repeat,https://code-destiny.com/js/saju-engine.js?v=build-56e6bbb09a19,/js/saju-engine.js?v=build-56e6bbb09a19,script,application/javascript,200,555821,542.8 KB,555821,no,script index-inline-runtime.js:1918,.js,saju-engine.js,yes
/,desktop,cold,https://code-destiny.com/js/saju-engine.js?v=build-56e6bbb09a19,/js/saju-engine.js?v=build-56e6bbb09a19,script,application/javascript,200,555813,542.8 KB,555813,no,script index-inline-runtime.js:1918,.js,saju-engine.js,yes
/saju/love-simulation,mobile,cold,https://code-destiny.com/js/saju-engine.js?v=build-56e6bbb09a19,/js/saju-engine.js?v=build-56e6bbb09a19,script,application/javascript,200,555810,542.8 KB,555810,no,script index-inline-runtime.js:1918,.js,saju-engine.js,yes
/,mobile,cold,https://code-destiny.com/js/saju-engine.js?v=build-56e6bbb09a19,/js/saju-engine.js?v=build-56e6bbb09a19,script,application/javascript,200,555808,542.8 KB,555808,no,script index-inline-runtime.js:1918,.js,saju-engine.js,yes
/music,mobile,cold,https://music.code-destiny.com/yeonisong/Moonlight%20Daydream.wav,/yeonisong/Moonlight%20Daydream.wav,media,audio/wav,206,540754,528.1 KB,51095212,no,other,.wav,Moonlight Daydream.wav,yes
/music,mobile,repeat,https://music.code-destiny.com/yeonisong/Moonlight%20Daydream.wav,/yeonisong/Moonlight%20Daydream.wav,media,audio/wav,206,459502,448.7 KB,51095212,no,other,.wav,Moonlight Daydream.wav,yes
/music,mobile,cold,https://music.code-destiny.com/yeonisong/Gisin%20Out%20Yongsin%20In.wav,/yeonisong/Gisin%20Out%20Yongsin%20In.wav,media,audio/wav,206,459501,448.7 KB,32363692,no,other,.wav,Gisin Out Yongsin In.wav,yes
/,mobile,cold,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,455679,445.0 KB,455679,no,parser code-destiny.com,.otf,The Jamsil OTF 4 Medium.otf,no
/palm-reading,desktop,cold,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,454037,443.4 KB,454037,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/palm-reading,desktop,repeat,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452622,442.0 KB,452622,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/neo-operation-room,desktop,cold,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452615,442.0 KB,452615,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/points,desktop,cold,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452574,442.0 KB,452574,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/astrology-ai,mobile,repeat,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452433,441.8 KB,452433,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/palm-reading,mobile,cold,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452400,441.8 KB,452400,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/sukuyo-compatibility-ai,mobile,repeat,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452399,441.8 KB,452399,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
/palm-reading,mobile,repeat,https://assets.code-destiny.com/The%20Jamsil%20OTF%204%20Medium.otf,/The%20Jamsil%20OTF%204%20Medium.otf,font,font/otf,200,452398,441.8 KB,452398,no,parser 2cf6b8929df91a43.css,.otf,The Jamsil OTF 4 Medium.otf,no
